SN,WRINVSTG_NO,DPRS_CNT,INJPSN_CNT,HNL_DMGE_CNT,PRPRTY_DMGE_AMT,UPRINSTT_NM,FRSTT_NM,WARD_NM,LFDAU_NM,FIRE_OCRN_YMD,FIRE_OCRN_TIME,RCPT_YMD,RCPT_TM,LOC_INFO_X,LOC_INFO_Y,DSP_YMD,DSP_TM,SPT_ARVL_YMD,SPT_ARVL_TM,FSMDEM_YMD,FSMDEM_TM,COMPET_YMD,COMPET_TM,HMG_YMD,HMG_TM,DSP_REQRE_TIME,FIRE_SUPESN_TIME,SPT_FRSTT_DIST,SPT_SAFE_CNTER_DIST,SPT_LFDAU_DIST,SIDO_NM,SIGUNGU_NM,EMD_NM,EMD_SE_NM,LNBR,ROAD_NM,FCLTY_PLACE_LCLAS_NM,FCLTY_PLACE_MCLAS_NM,FCLTY_PLACE_SCLAS_NM,FIRE_TYPE_NM,IGN_BHF,IGN_CAUSE,IGN_HTSRC_NM,IGN_FCTR_SCLAS_NM,IGN_FCTR_LCLAS_NM,IGN_HTSRC_SCLAS_NM,FRST_IGOBJ_LCLAS_NM,FRST_IGOBJ_SCLAS_NM,CMBS_EXPOBJ_LCLAS_NM,CMBS_EXPOBJ_SCLAS_NM,OCRN_CAUSE,ALL_HNF_CNT_SUM,MBLZ_FFPWR_CNT,LYCRG_FIREMAN_CNT,POLICE_CNT,GNRL_CNT,SOLDIER_CNT,ELCTY_GAS_INSTT_CNT,ETC_CNT,MBLZ_EQPMN_CNT,WETHR,TP,HUMIDITY,TIME_UNIT_WS,TIME_UNIT_WD,SPCNWS_CN
1,110123030212740,0,0,0,0,강원소방본부,강릉소방서,경포119안전센터,,20110122,233500,20110122,233511,,,20110122,233615,20110122,235315,20110123,121115,20110123,001115,20110123,020515,001700,001800,9,9,0.0,강원도,강릉시,죽헌동,,108-41,,임야,산불,사유림,임야,산정상,기타,"담뱃불, 라이터불","라이터불, 성냥불",방화의심,방화의심,"종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등",나무,"원거리 소방서/현장진입 지연(불법주차)/화재인지,신고 지연",37,19,0,0,18,0,0,0,8,맑음,-1.0,30,45.0,8.0,
2,110201124633193,0,0,0,184330,강원소방본부,양양소방서,하조대119안전센터,,20110131,181300,20110131,181311,,,20110131,181409,20110131,183024,20110201,094538,20110201,103016,20110201,114552,001615,155952,43,13,0.0,강원도,양양군,현남면,상월천리,289,,임야,산불,사유림,임야,산아래,기타,"불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎",기타,기타,"기상(건조, 강풍 등)",1872,270,335,10,700,0,8,549,71,맑음,1.0,10,225.0,8.0,건조 경보
3,110202001905680,0,0,0,0,강원소방본부,강릉소방서,경포119안전센터,,20110201,210700,20110201,210710,,,20110201,210826,20110201,211500,20110201,102300,20110201,223800,20110201,233000,000634,012300,7,6,0.0,강원도,강릉시,대전동,,147-3,,임야,산불,사유림,임야,산정상,기타,기타,기타,방화의심,방화의심,"종이,목재,건초등",잔디,,,,184,17,7,50,110,0,0,0,15,맑음,1.0,550,135.0,4.0,
4,110211232658327,0,0,0,4864,강원소방본부,홍천소방서,서석119안전센터,내촌119지역대,20110211,175000,20110211,175032,,,20110211,175220,20110211,181500,20110211,074100,20110211,202000,20110211,214955,002240,020500,37,37,7.0,강원도,홍천군,내촌면,물걸리,5,,임야,산불,국유림,임야,산중턱,기타 입산자실화,기타,기타,기타,기타,"종이,목재,건초등","풀, 나뭇잎",,,,171,8,87,10,33,0,33,0,9,구름많음,-2.0,29,225.0,4.0,
5,110212113557218,0,0,0,50,강원소방본부,원주소방서,흥업119안전센터,귀래119지역대,20110212,061800,20110212,061836,,,20110212,062010,20110212,064029,20110212,082038,20110212,103038,20110212,111838,002019,035009,20,20,8.0,강원도,원주시,귀래면,귀래리,1894-3,,임야,산불,사유림,임야,산중턱,모닥불,"불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등","풀, 나뭇잎","화재인지,신고 지연",94,11,26,4,0,0,38,15,9,구름많음,-6.0,44,225.0,4.0,
6,110226184027069,0,0,0,440,강원소방본부,원주소방서,태장119안전센터,,20110226,164200,20110226,164234,,,20110226,164353,20110226,164901,20110226,052601,20110226,172726,20110226,183011,000508,003825,8,2,0.0,강원도,원주시,태장동,,363-33,,임야,산불,사유림,임야,산정상,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등","풀, 나뭇잎","기상(건조, 강풍 등)",46,10,0,0,0,0,36,0,8,맑음,14.0,23,180.0,4.0,
7,110309213244170,0,0,0,600,강원소방본부,영월소방서,영월119안전센터,,20110309,131800,20110309,131855,,,20110309,131916,20110309,132916,20110309,050016,20110309,200016,20110310,083947,001000,063100,9,9,8.0,강원도,영월군,영월읍,정양리,,,임야,산불,국유림,임야,산아래,기타,"불꽃, 불티","기타(불꽃,불티)",부주의,기타(부주의),"침구,직물류","기타(침구,직물류)",,,,204,17,41,5,45,0,67,29,26,맑음,1.0,19,225.0,8.0,
8,110311163316993,0,0,0,0,강원소방본부,횡성소방서,우천119안전센터,,20110311,134200,20110311,134249,,,20110311,134334,20110311,140409,20110311,021746,20110311,151737,20110311,162000,002035,011328,17,10,0.0,강원도,횡성군,우천면,정금리,21,,임야,산불,사유림,임야,산정상,기타 입산자실화,미상,미상,부주의,기타(부주의),"종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등",나무,"가연성물질의 급격한 연소/기상(건조, 강풍 등)/원거리 소방서",214,10,15,5,110,0,0,74,10,맑음,5.0,43,225.0,4.0,
9,110315000430920,0,0,0,64,강원소방본부,영월소방서,영월119안전센터,,20110314,193500,20110314,193519,,,20110314,193540,20110314,195222,20110314,090022,20110314,230622,20110314,234022,001642,031400,9,9,7.0,강원도,영월군,영월읍,정양리,80,,임야,산불,사유림,임야,산아래,미상,미상,미상,미상,미상,미상,미상,,,,116,11,33,4,68,0,0,0,5,맑음,4.0,67,45.0,4.0,
10,110318150237275,0,0,0,3264,강원소방본부,홍천소방서,홍천119안전센터,,20110318,115800,20110318,115807,,,20110318,115900,20110318,120327,20110318,123300,20110318,124800,20110318,134453,000427,004433,6,6,0.0,강원도,홍천군,홍천읍,연봉리,,,임야,산불,사유림,임야,산정상,기타 입산자실화,기타,기타,기타,기타,"종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등","풀, 나뭇잎",가연성물질의 급격한 연소,88,16,21,4,22,0,10,15,15,맑음,9.0,21,315.0,4.0,
11,110324164416709,0,0,0,0,강원소방본부,춘천소방서,화천119안전센터,,20110324,125600,20110324,125625,,,20110324,125721,20110324,130321,20110324,015021,20110324,135021,20110324,152021,000600,004700,46,6,0.0,강원도,화천군,화천읍,풍산리,산 240,,임야,산불,사유림,임야,산아래,"논,밭두렁으로부터확대","불꽃, 불티","쓰레기, 논밭두렁",부주의,"논,임야태우기","종이,목재,건초등","풀, 나뭇잎",,,,102,4,12,2,30,0,10,44,8,맑음,4.0,47,90.0,8.0,
12,110401153210082,0,0,0,0,강원소방본부,정선소방서,조양119안전센터,,20110401,105200,20110401,105215,,,20110401,105300,20110401,110300,20110401,122020,20110401,133000,20110401,145000,001000,022700,8,8,12.0,강원도,정선군,정선읍,신월2리,산 18,,임야,산불,사유림,임야,산아래,"논,밭두렁으로부터확대","불꽃, 불티","쓰레기, 논밭두렁",부주의,"불씨,불꽃,화원방치",기타,기타,,,,160,7,33,10,20,0,70,20,19,맑음,14.0,24,315.0,4.0,
13,110405144545909,0,0,0,1485,강원소방본부,춘천소방서,강촌119안전센터,,20110405,110400,20110405,110414,,,20110405,110536,20110405,112736,20110405,120036,20110405,120036,20110405,133036,002200,003300,40,25,0.0,강원도,춘천시,남면,관천리,47,,임야,산불,사유림,임야,산중턱,미상,미상,미상,미상,미상,"종이,목재,건초등","풀, 나뭇잎",,,,67,7,30,4,24,0,2,0,3,맑음,16.0,47,225.0,4.0,
14,110406165756224,0,0,0,0,강원소방본부,철원소방서,동송119안전센터,,20110406,144100,20110406,144134,,,20110406,144257,20110406,144557,20110406,024857,20110406,155057,20110406,163257,000300,010500,13,2,0.0,강원도,철원군,철원읍,화지리,52,,임야,산불,사유림,임야,산아래,성묘객으로부터화재,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",건초,"종이,목재,건초등",건초,"가연성물질의 급격한 연소/기상(건조, 강풍 등)",294,14,20,8,50,190,12,0,11,맑음,13.0,41,90.0,8.0,
15,110406182328024,0,0,0,0,강원소방본부,강릉소방서,내곡119안전센터,,20110406,162300,20110406,162315,,,20110406,162400,20110406,164400,20110406,045500,20110406,170000,20110406,175000,002000,001600,18,17,0.0,강원도,강릉시,왕산면,도마리,456-1 ,,임야,산불,사유림,임야,산정상,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,160,15,15,10,50,0,50,20,20,맑음,17.0,13,270.0,4.0,건조 주의보
16,110409171545996,0,0,0,0,강원소방본부,춘천소방서,양구119안전센터,,20110409,123000,20110409,123036,,,20110409,123138,20110409,124438,20110409,010128,20110409,130401,20110409,134421,001300,001923,50,15,0.0,강원도,양구군,동면,덕곡리,산 44-2,,임야,산불,사유림,임야,산아래,미상,미상,미상,미상,미상,미상,미상,,,,68,6,10,2,20,0,30,0,5,맑음,19.0,14,270.0,17.0,
17,110409162919885,0,0,0,0,강원소방본부,춘천소방서,양구119안전센터,,20110409,125200,20110409,125248,,,20110409,125348,20110409,130007,20110409,014000,20110409,140000,20110409,143000,000619,005953,48,17,7.0,강원도,양구군,남면,창리,산 29,,임야,산불,사유림,임야,산아래,성묘객으로부터화재,"담뱃불, 라이터불","라이터불, 성냥불",기타,기타,쓰레기류,기타 쓰레기,"종이,목재,건초등","풀, 나뭇잎","기상(건조, 강풍 등)",94,3,10,2,35,0,43,1,3,맑음,18.0,16,270.0,17.0,
18,110410143524703,0,0,0,0,강원소방본부,춘천소방서,화천119안전센터,,20110410,121300,20110410,121316,,,20110410,121343,20110410,122343,20110410,125714,20110410,125714,20110410,140043,001000,003331,45,10,0.0,강원도,화천군,하남면,원천리,산 351-1,,임야,산불,사유림,임야,산아래,건물로부터확대,"불꽃, 불티",굴뚝(연통) 아궁이,부주의,"불씨,불꽃,화원방치","종이,목재,건초등","기타(종이,목재,건초등)",,,,63,8,21,0,10,0,2,22,7,구름많음,18.0,28,270.0,17.0,
19,110413222209603,0,0,0,6982,강원소방본부,양양소방서,양양119안전센터,,20110413,153200,20110413,153237,,,20110413,153728,20110413,163029,20110413,045819,20110413,175000,20110413,183000,005301,011931,24,7,0.0,강원도,양양군,손양면,삽존리,57,,임야,산불,사유림,임야,산아래,미상,미상,미상,미상,미상,"종이,목재,건초등","풀, 나뭇잎",,,,936,25,75,80,320,221,0,215,17,맑음,23.0,11,225.0,8.0,건조 주의보
20,110413185052007,0,0,0,0,강원소방본부,삼척소방서,도계119안전센터,,20110413,155500,20110413,155538,,,20110413,155641,20110413,160641,20110413,044541,20110413,171041,20110413,190041,001000,010400,27,9,0.0,강원도,삼척시,도계읍,고사리,,,임야,산불,사유림,임야,산중턱,기타 입산자실화,"담뱃불, 라이터불","라이터불, 성냥불",부주의,불장난,"종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등","풀, 나뭇잎","기상(건조, 강풍 등)",209,12,39,7,62,0,89,0,18,맑음,21.0,15,270.0,4.0,
21,110413230824792,0,0,0,0,강원소방본부,영월소방서,주천119안전센터,,20110413,164700,20110413,164719,,,20110413,164740,20110413,172245,20110413,053045,20110413,175045,20110413,194545,003505,002800,44,18,0.0,강원도,영월군,수주면,운학리,1683-2 ,,임야,산불,사유림,임야,산중턱,쓰레기소각장에서확대,"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,"종이,목재,건초등","풀, 나뭇잎",,,,174,10,47,5,30,0,82,0,18,맑음,13.0,36,315.0,4.0,
22,110414041053249,0,0,0,99,강원소방본부,춘천소방서,석사119안전센터,,20110413,234000,20110413,234046,,,20110413,234138,20110413,235538,20110414,124038,20110414,004038,20110414,031038,001400,004500,10,8,0.0,강원도,춘천시,신동면,증리,107-28 ,,임야,산불,사유림,임야,산중턱,미상,미상,미상,미상,미상,미상,미상,,,,111,9,20,2,40,0,0,40,3,맑음,5.0,59,180.0,4.0,
23,110416214728784,0,0,0,0,강원소방본부,춘천소방서,강촌119안전센터,,20110416,181400,20110416,181413,,,20110416,181558,20110416,182800,20110416,063000,20110416,183000,20110416,212100,001202,000200,30,13,0.0,강원도,춘천시,남산면,강촌리,,,임야,산불,사유림,임야,산정상,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",건초,,,,72,7,15,0,20,0,0,30,6,맑음,11.0,39,0.0,4.0,건조 주의보
24,110417171304896,0,0,0,115,강원소방본부,인제소방서,인제119안전센터,남면119지역대,20110417,123500,20110417,123520,,,20110417,124130,20110417,124510,20110417,015015,20110417,142000,20110417,163020,000340,013450,47,27,12.0,강원도,인제군,남면,신월리,산 36,,임야,산불,사유림,임야,산중턱,미상,기타,기타,부주의,기타(부주의),기타,기타,"종이,목재,건초등","풀, 나뭇잎","가연성물질의 급격한 연소/기상(건조, 강풍 등)",198,10,25,10,50,0,53,50,7,맑음,11.0,58,135.0,,
25,110417164748127,0,1,1,0,강원소방본부,횡성소방서,둔내119안전센터,,20110417,142200,20110417,142209,,,20110417,142248,20110417,143245,20110417,030830,20110417,150837,20110417,161229,000957,003552,24,24,6.0,강원도,횡성군,청일면,고시리,산 12,,임야,산불,사유림,임야,산아래,쓰레기소각장에서확대,"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,"종이,목재,건초등","풀, 나뭇잎",,,"기상(건조, 강풍 등)",154,10,41,3,0,0,80,20,10,맑음,18.0,22,225.0,4.0,
26,110420173931855,0,0,0,0,강원소방본부,횡성소방서,둔내119안전센터,청일지역대,20110420,141200,20110420,141240,,,20110420,141402,20110420,142719,20110420,022910,20110420,155300,20110420,171028,001317,012541,30,21,11.0,강원도,횡성군,청일면,춘당리,19,,임야,산불,사유림,임야,산아래,쓰레기소각장에서확대,"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,"종이,목재,건초등","풀, 나뭇잎",,,,173,10,42,3,73,0,0,45,14,맑음,17.0,30,225.0,8.0,
27,110514165520333,0,0,0,0,강원소방본부,철원소방서,동송119안전센터,,20110514,141800,20110514,141802,,,20110514,141815,20110514,142200,20110514,024600,20110514,151100,20110514,161000,000345,004900,15,4,0.0,강원도,철원군,동송읍,오지리,1113-17,,임야,산불,사유림,임야,산아래,쓰레기소각장에서확대,"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,"종이,목재,건초등","풀, 나뭇잎",,,,54,16,0,3,35,0,0,0,6,맑음,23.0,0,,,
28,110608162739430,0,0,0,0,강원소방본부,삼척소방서,도계119안전센터,하장119지역대,20110608,132200,20110608,132257,,,20110608,132441,20110608,133541,20110608,031041,20110608,153141,20110608,161741,001100,015600,32,32,12.0,강원도,삼척시,하장면,번천리,5,,임야,산불,국유림,임야,산중턱,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,48,9,0,4,4,0,11,20,7,맑음,27.0,31,315.0,4.0,
29,110608192808677,0,0,0,0,강원소방본부,양양소방서,양양119안전센터,,20110608,174200,20110608,174243,,,20110608,174332,20110608,180232,20110608,060532,20110608,182532,20110608,184032,001900,002300,14,13,0.0,강원도,양양군,강현면,,,,임야,산불,사유림,임야,평지,기타,"담뱃불, 라이터불","라이터불, 성냥불",부주의,"논,임야태우기","종이,목재,건초등","풀, 나뭇잎",,,,15,15,0,0,0,0,0,0,5,구름많음,20.0,54,135.0,4.0,
30,110612210735591,0,0,0,0,강원소방본부,삼척소방서,봉황119안전센터,,20110612,142300,20110612,142351,,,20110612,142543,20110612,150024,20110612,050024,20110612,183024,20110612,205024,003441,033000,13,13,0.0,강원도,삼척시,마평동,,,,임야,산불,사유림,임야,산정상,미상,미상,미상,미상,미상,미상,미상,"종이,목재,건초등",건초,"가연성물질의 급격한 연소/현장진입 지연(불법주차)/화재인지,신고 지연",53,8,8,3,24,0,10,0,57,맑음,19.0,75,0.0,4.0,
31,110615165330691,0,0,0,0,강원소방본부,춘천소방서,석사119안전센터,동산119지역대,20110615,122100,20110615,122153,,,20110615,122453,20110615,122853,20110615,125053,20110615,130053,20110615,164053,000400,003200,25,20,5.0,강원도,춘천시,동산면,봉명리,46,,임야,산불,공유림,임야,산정상,미상,미상,미상,미상,미상,미상,미상,,,,68,5,34,0,17,0,0,12,7,맑음,31.0,29,315.0,4.0,
32,110620221511482,0,0,0,0,강원소방본부,춘천소방서,양구119안전센터,남면119지역대,20110620,190000,20110620,190026,,,20110620,190140,20110620,192052,20110620,083005,20110620,204005,20110620,214500,001912,011913,50,10,15.0,강원도,양구군,남면,대월리,산 95-1,,임야,산불,국유림,임야,산중턱,미상,미상,미상,미상,미상,"종이,목재,건초등","풀, 나뭇잎",,,,28,3,0,2,5,15,3,0,4,맑음,23.0,70,135.0,4.0,
33,111007091433331,0,0,0,79,강원소방본부,춘천소방서,화천119안전센터,,20111006,181300,20111006,181356,,,20111006,181510,20111006,183610,20111006,072010,20111006,192010,20111007,090010,002100,004400,57,21,41.0,강원도,화천군,화천읍,동촌리,산 222,,임야,산불,사유림,임야,산정상,담뱃불,미상,미상,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,70,5,36,4,12,0,0,13,3,맑음,18.0,34,225.0,4.0,
34,111007182225648,0,0,0,1373,강원소방본부,홍천소방서,양덕원119안전센터,,20111007,143600,20111007,143620,,,20111007,143802,20111007,145029,20111007,040809,20111007,162831,20111007,163808,001227,013802,18,18,0.0,강원도,홍천군,남면,시동리,109-1,,임야,산불,공유림,임야,산정상,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,58,11,10,5,20,10,2,0,6,맑음,21.0,31,225.0,,
35,111008171720742,0,0,0,0,강원소방본부,홍천소방서,양덕원119안전센터,,20111008,125500,20111008,125536,,,20111008,125600,20111008,130223,20111008,022503,20111008,145400,20111008,165546,000623,015137,18,18,0.0,강원도,홍천군,남면,시동리,109-1,,임야,산불,공유림,임야,산정상,기타,"불꽃, 불티","기타(불꽃,불티)",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎",,,,59,9,5,2,29,0,4,10,7,맑음,20.0,34,315.0,4.0,
36,111013192649816,0,0,0,0,강원소방본부,춘천소방서,화천119안전센터,,20111013,145400,20111013,145450,,,20111013,145735,20111013,151700,20111013,035000,20111013,155000,20111013,185900,001925,003300,20,20,0.0,강원도,춘천시,사북면,고성리,105,,임야,산불,국유림,임야,산정상,미상,미상,미상,미상,미상,미상,미상,,,,34,9,10,0,15,0,0,0,5,맑음,16.0,79,0.0,4.0,
37,111017175319072,0,0,0,0,강원소방본부,인제소방서,인제119안전센터,,20111017,144100,20111017,144118,,,20111017,144558,20111017,150358,20111017,043058,20111017,163058,20111017,170058,001800,012700,73,17,0.0,강원도,인제군,인제읍,가아리,1-40,,임야,산불,국유림,임야,산정상,미상,미상,미상,미상,미상,"종이,목재,건초등","풀, 나뭇잎",,,,44,7,0,0,17,0,0,20,6,맑음,14.0,19,180.0,4.0,
38,111027104239976,0,0,0,0,강원소방본부,춘천소방서,양구119안전센터,남면119지역대,20111027,074700,20111027,074710,,,20111027,074836,20111027,075309,20111027,083557,20111027,084032,20111027,093952,000433,004723,44,5,5.0,강원도,양구군,남면,대월리,,,임야,산불,국유림,임야,산중턱,군.경사격장으로부터확대,"폭발물, 폭죽","폭탄, 탄약",부주의,기타(부주의),"종이,목재,건초등","풀, 나뭇잎",,,,45,8,0,0,3,30,4,0,4,맑음,8.0,30,90.0,4.0,
39,111028194332436,0,0,0,0,강원소방본부,철원소방서,태봉119안전센터,군탄119지역대,20111028,122700,20111028,122700,,,20111028,122743,20111028,123943,20111028,024243,20111028,152043,20111028,170443,001200,024100,16,16,8.0,강원도,철원군,갈말읍,신철원4리,,,임야,산불,국유림,임야,산중턱,군.경사격장으로부터확대,"폭발물, 폭죽","폭탄, 탄약",기타,기타,"종이,목재,건초등","풀, 나뭇잎",,,,217,7,0,0,10,200,0,0,8,맑음,15.0,60,45.0,4.0,
40,111031161358689,0,0,0,0,강원소방본부,철원소방서,김화119안전센터,,20111031,141100,20111031,141104,,,20111031,141211,20111031,144930,20111031,025010,20111031,145310,20111031,160027,003719,000340,28,15,0.0,강원도,철원군,근남면,마현리,203,,임야,산불,국유림,임야,산중턱,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,45,10,0,0,0,30,5,0,9,맑음,18.0,42,270.0,4.0,
41,111101224727362,0,0,0,0,강원소방본부,춘천소방서,화천119안전센터,,20111101,151900,20111101,151925,,,20111101,152318,20111101,155255,20111101,045522,20111101,165555,20111102,130244,002937,010300,57,22,0.0,강원도,화천군,화천읍,동촌리,224,,임야,산불,사유림,임야,산중턱,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,기타,기타,"종이,목재,건초등","풀, 나뭇잎",기타,299,6,38,7,162,0,20,66,12,구름조금,14.0,63,135.0,4.0,
42,111101204926094,0,0,0,0,강원소방본부,춘천소방서,양구119안전센터,남면119지역대,20111101,195200,20111101,195243,,,20111101,195351,20111101,200750,20111101,080820,20111101,200851,20111101,202115,001359,000101,55,5,9.0,강원도,양구군,남면,,102-2,,임야,산불,국유림,임야,산중턱,군.경사격장으로부터확대,"폭발물, 폭죽","폭탄, 탄약",부주의,기타(부주의),"종이,목재,건초등","풀, 나뭇잎",,,,14,4,0,0,0,10,0,0,2,맑음,0.0,0,0.0,4.0,
43,111115114603537,0,0,0,0,강원소방본부,고성소방서,동광119안전센터,,20111115,100000,20111115,100036,,,20111115,100051,20111115,101251,20111115,103051,20111115,110551,20111115,113751,001200,005300,23,13,0.0,강원도,고성군,죽왕면,,,,임야,산불,국유림,임야,산정상,군.경사격장으로부터확대,"폭발물, 폭죽","폭탄, 탄약",화학적 요인,화학적 폭발,"종이,목재,건초등","풀, 나뭇잎",,,,57,12,0,5,0,20,20,0,11,맑음,10.0,23,315.0,4.0,
44,111115170803467,0,0,0,0,강원소방본부,양양소방서,양양119안전센터,,20111115,153400,20111115,153432,,,20111115,153445,20111115,153920,20111115,034220,20111115,155020,20111115,165920,000435,001100,20,7,0.0,강원도,양양군,양양읍,감곡리,99,,임야,산불,사유림,임야,산중턱,쓰레기소각장에서확대,"불꽃, 불티","쓰레기, 논밭두렁",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎",,,,76,15,0,1,55,0,5,0,12,맑음,11.0,32,,,
45,111121093824442,0,0,0,0,강원소방본부,인제소방서,인제119안전센터,,20111120,213000,20111120,213022,,,20111120,213144,20111120,213945,20111121,124310,20111121,015032,20111121,023015,000801,041047,72,12,0.0,강원도,인제군,인제읍,남북리,,,임야,산불,국유림,임야,산아래,기타 입산자실화,미상,미상,미상,미상,"종이,목재,건초등","기타(종이,목재,건초등)",,,,85,8,35,0,18,0,18,6,5,맑음,-1.0,29,180.0,4.0,
46,111129182001803,0,0,0,0,강원소방본부,원주소방서,태장119안전센터,,20111129,160200,20111129,160250,,,20111129,160613,20111129,163310,20111129,044030,20111129,165131,20111129,175025,002657,001821,15,6,0.0,강원도,원주시,소초면,장양리,101-2,,임야,산불,공유림,임야,산정상,미상,미상,미상,미상,미상,"종이,목재,건초등","풀, 나뭇잎",,,,65,7,0,0,12,0,0,46,8,구름많음,13.0,77,45.0,4.0,
47,111208134723067,0,0,0,0,강원소방본부,강릉소방서,옥계119안전센터,,20111208,104900,20111208,104926,,,20111208,105000,20111208,110100,20111208,113000,20111208,113800,20111208,123500,001100,003700,26,8,6.0,강원도,강릉시,강동면,심곡리,1-72,,임야,산불,국유림,임야,산아래,군.경사격장으로부터확대,"폭발물, 폭죽","폭탄, 탄약",부주의,기타(부주의),"종이,목재,건초등","풀, 나뭇잎",,,,212,17,0,5,30,150,10,0,13,맑음,8.0,28,315.0,4.0,
48,111214162321323,0,0,0,0,강원소방본부,춘천소방서,강촌119안전센터,,20111214,141800,20111214,141819,,,20111214,141940,20111214,143517,20111214,023517,20111214,143517,20111214,153712,001537,000000,20,6,0.0,강원도,춘천시,남산면,강촌리,607-1 ,,임야,산불,사유림,임야,산아래,기타,"불꽃, 불티",굴뚝(연통) 아궁이,부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎",,,,39,9,10,0,15,0,0,5,7,흐림,2.0,61,45.0,4.0,
49,111225021250904,0,0,0,0,강원소방본부,속초소방서,노학119안전센터,,20111224,230600,20111224,230621,,,20111224,230625,20111224,231004,20111224,111504,20111224,232604,20111225,012704,000339,001600,4,4,0.0,강원도,속초시,영랑동,,,,임야,산불,공유림,임야,산정상,기타 입산자실화,"폭발물, 폭죽",폭죽,부주의,폭죽놀이,"종이,목재,건초등",건초,,,,15,9,0,2,0,0,0,4,4,맑음,-6.0,27,225.0,8.0,
50,111227172550770,0,0,0,0,강원소방본부,고성소방서,간성119안전센터,,20111227,140900,20111227,140950,,,20111227,140955,20111227,141714,20111227,023214,20111227,145814,20111227,161014,000719,004100,49,13,0.0,강원도,고성군,간성읍,장신리,140,,임야,산불,국유림,임야,산정상,군.경사격장으로부터확대,"폭발물, 폭죽","폭탄, 탄약",화학적 요인,화학적 폭발,"종이,목재,건초등",건초,,,,108,15,0,6,12,60,15,0,11,맑음,0.0,0,,,
51,111228180827942,0,0,0,4209,강원소방본부,홍천소방서,홍천119안전센터,,20111228,020200,20111228,020231,,,20111228,020611,20111228,021313,20111228,083039,20111228,103038,20111228,121707,000702,081725,8,8,0.0,강원도,홍천군,홍천읍,장전평리,202-2,,임야,산불,국유림,임야,산정상,기타 입산자실화,기타,기타,부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등","풀, 나뭇잎",기타,111,12,18,21,10,0,50,0,13,맑음,-10.0,73,45.0,4.0,
52,111231185312361,0,0,0,0,강원소방본부,원주소방서,단구119안전센터,,20111231,163600,20111231,163626,,,20111231,163758,20111231,164310,20111231,064322,20111231,200022,20111231,211022,000512,031712,6,4,0.0,강원도,원주시,행구동,,105,,임야,산불,국유림,임야,산중턱,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",잔디,,,,68,9,10,5,22,0,22,0,3,맑음,-6.0,40,,,
53,120111174906255,0,0,0,0,강원소방본부,홍천소방서,홍천119안전센터,동면119지역대,20120111,113700,20120111,113748,,,20120111,113904,20120111,114912,20120111,115657,20120111,123609,20120111,130753,001008,004657,11,11,6.0,강원도,홍천군,동면,월운리,16,,임야,산불,국유림,임야,산아래,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,기타(부주의),기타,기타,,,,475,10,15,5,15,400,30,0,12,맑음,-3.0,39,270.0,4.0,
